date,username,replies,retweets,favorites,text
6/5/20 23:59,cozycupidd,0,0,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/k2j4y6GW via @CdnChange
6/5/20 23:58,RonaldNJPoem,1,0,0,@DNC @SpeakerPelosi Why would decent immigrants continue draging kids through dangerous travels making over crowding detention centers &amp; risking everyone else? Wheres Social Distancing? #foxnews #cnn @JoeBiden! #coronavirus #COVID @realDonaldTrump #maga @ewarren @Potus #Trump
6/5/20 23:57,GrangaMom6,1,0,0,I am a citizen of immigrants from Sicily&amp;Ireland we were poverty stricken in the beginning but with hard work &amp; perseverance of much discrimination we all made a better life for ourselves. I researched Trump &amp; his families morals &amp; only found disgust.
6/5/20 23:57,BirdclanGlenn,0,0,0,"Trump, you exploited white supremacist hatred of people of color, immigrants for political power. This is the pain, grief and rage you have spawned in America. You are evil. There needs to be an exorcism to banish you. #BlackLivesMatter #USARevolt"
6/5/20 23:56,xd00md0g,0,0,0,"Sorry to disagree, but as an immigrant myself, even with the difficulties you may encounter in your daily business, the policy changes and deregulation under Trump have helped thousand of businesses. Maybe you're not interested or affected by them but it has helped the economy."
6/5/20 23:56,roger_kaplan,0,0,0,"Kelly is still a 4-Star A**hole. He enabled #Trump in the abuse of undocumented immigrants &amp; a Gold Star family (&amp; the grieving widow), lied about @RepWilson &amp; refused to apologize. His minimizing women &amp; minorities is despicable. HE TALKS ABOUT CHARACTER &amp; ETHICS?! #Hypocrisy"
6/5/20 23:55,NearlyWealthy,0,0,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/ZjXT4wdw via @Change
6/5/20 23:54,DBS71,0,0,0,"If youll actually think about who is dividing, its not gop or trump its the democrats. Taking every opportunity to separate everyone into groups. Black/white, male/female, gay/straight, immigrants/citizens, etc. We're all equal and separating only divides more. Dont be a victim!"
6/5/20 23:52,tkfwizzard,0,0,0,"Trump/Barr want to use the #PATRIOTAct to spy on our internet search history. They’ll use it to go after immigrants, protesters, and their enemies. Oppose this, @DemandProgress @RepBlaine @RepHartzler @RoyBlunt @SenHawleyPress"
6/5/20 23:51,bhinojosa7777,0,0,0,"https://theintercept.com/2018/11/24/trump-border-military-deployment/ Don't forget Trump, and Obama's war on immigrants that have cost valley taxpayers millions. These fascist are free to kill whoever they want with impunity. We also fund ICE detention centers/ torture camps for people deemed less than animals. 6/6"
6/5/20 23:51,JimWootton,0,0,0,"Hilary Anderson #Panorama is a racist, showing people that blaming immigrants, blaming Democrats. Trump supporter no doubt."
6/5/20 23:50,surefoundation7,0,0,0,"14/1776 The letter complained that as an administration official, Trump was complicit in the president’s supposedly “callous disregard of the concerns of black people, immigrants, and Latino people.” "
6/5/20 23:50,itsclaudine,0,1,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/NkTvgFpC via @Change
6/5/20 23:48,goddessavan,1,0,1,"Running this whole thing where immigrants are just trying to start their lives in America, ONCE A FREE COUNTRY. And last but definitely not least Trump has said a few key words that is meant to insult/define certain races. You can literally look it up."
6/5/20 23:46,yodelodwho,1,0,0,"No one said anything about ""trump and Hitler being the same."" Comparing trump and hitler means nothing their similarities and their differences. Both... attack rule of law demonize critics denigrate immigrants demonize press Differences: Hitler didn't use a Bible as a prop"
6/5/20 23:45,Dekejlp,0,0,0,Trump’s virus payroll tax cut ‘crushes’ Pelosi plan to aid illegal immigrants 
6/5/20 23:43,crowncitizenllc,1,0,0,So when trump whines about is no problem is only when is the immigrant right. That’s your logic norma. The logic of cherry picking when is convinient to you right. But when your leader does it is ok. Is no problem.
6/5/20 23:41,lesli_ysr,0,0,3,Latinos whose parents are immigrants &amp; are pro build the wall like do y’all not remember all we are to the US government are ANCHOR BABIES? They don’t care abt us. Trump literally wanted to abolish birthright citizenship. Embarrassing shit fr.
6/5/20 23:41,yoonieandjoonie,0,0,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/CgzmdBkJ via @Change
6/5/20 23:37,CarolRides,0,0,0,"Trump/Barr want to use the #PATRIOTAct to spy on our internet search history. They’ll use it to go after immigrants, protesters, and their enemies. Oppose this, @DemandProgress @RepAdams @SenatorBurr @senthomtillis"
6/5/20 23:37,edusanchez19us,2,7,14,1/2 The first #BananaRepublican : a Russian immigrant to the US that to increase margins in his Banana business bought politicians in Honduras setting back democracy ....forever. Trump’s MAGA’s brought this to the US government as an “innovation” 
6/5/20 23:34,MsMJanM,0,0,0,"Trump/Barr want to use the #PATRIOTAct to spy on our internet search history. They’ll use it to go after immigrants, protesters, and their enemies. Oppose this, please!!!!!@DemandProgress @RepWexton @GerryConnolly @MarkWarner"
6/5/20 23:31,Lily_ruizz,0,1,1,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/m2jNMBvQ via @Change
6/5/20 23:30,BrittElise727,1,0,1,"Immigrants who come here legally, like our Mexican and Russian friends, strongly support Trump against illegal immigration."
6/5/20 23:29,alexisBaybe_,0,0,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/9csTYp5t via @Change
6/5/20 23:28,StarvinIm,0,0,0,Donald J. Trump: Justice for sexually abused immigrant children - Sign the Petition! http://chng.it/bWhpsXWM via @Change
6/5/20 23:28,go2boat4winds,1,1,6,Who woulda' thunk it? Trump cages immigrant children and then cages himself. 
6/5/20 23:24,iAmericaorg,0,19,12,"Rather than hear the nation cry out for justice & condemn the killings of Black people in America, Trump has instead chosen to militarize our communities &amp; deploy ICE agents to protests. #Immigrant protesters should know their rights. https://iamerica.org/know-your-rights #BlackLivesMatter"
6/5/20 23:22,BoringCow07,0,0,0,The Hispanic is supporting Trump yelling Racial slurs. TRUMP will use this video two fold to spread his word and to condemn immigrants. 
6/5/20 23:20,paglia_ng,0,1,4,"Their owner, Ronald Lauder ( #EsteeLauder) hates Black and Brown people. He also hates immigrants. He has donated tens of millions of dollars to Trump's 2016 AND 2020 campaigns. #BoycottMACcosmetics"
6/5/20 23:19,AndrewJDBerry,0,0,2,"Of course, the only point is to scare people so Trump’s poll numbers go up. This is the new caravan of immigrants."
6/5/20 23:17,Iouvrue,0,0,6,wasn’t david dobrick cancelled like two years ago for saying he’s friends with trump supporters and it’s okay because he’s an immigrant or sumn?
